70	40627
33	57388
945	7195
81	30183
204	52816
1374	4477
398	7156
11133	1647
417	6095
144	530
7	2678
909	668
220	7926
2446	643
97	20095
296	29064
147	21975
78	31457
2023	7683
193	21497
87	27058
613	17044
19	23054
416	11538
141	27042
72	10453
136	17252
195	10174
119	42357
144	31701
202	4243
78	9897
4	35745
195	12085
141	11682
145	23359
245	35647
1274	2507
1466	375
18	43349
20	6622
459	31350
621	2988
248	6670
107	2726
1857	1453
116	12511
146	35240
23	23288
182	7088
58	11181
127	56161
494	3576
1373	4465
81	6436
3426	3382
13	2225
17	22419
1311	2583
200	42895
204	7297
335	371
666	22755
4454	3296
201	29116
426	15949
314	22445
572	18886
1176	6170
333	35450
346	10671
358	3855
88	9975
334	23793
199	22754
25	4065
474	13952
821	13740
81	8797
340	19162
1245	2307
11640	1489
141	10066
575	16818
110	23740
216	4567
50	22642
411	55362
451	4558
75	14764
1522	3906
416	22565
132	31785
67	9060
437	27859
438	10115
65	45258
53	2832
171	25559
166	26566
243	3820
355	4330
362	1725
1148	6676
268	9819
396	13549
143	1460
856	22843
1759	2193
497	4813
11	10674
9	18218
132	19536
1293	539
1894	1378
615	8926
355	20434
257	27767
85	21979
669	4851
7649	1825
54	1199
167	421
142	27958
545	3682
556	6682
191	20645
283	2537
436	38074
92	2997
397	54150
25	13849
60	10478
112	9215
275	22478
15	18918
1249	1780
258	4257
359	21938
103	7286
24	48735
83	5318
276	13568
281	19862
181	7281
146	2708
13	8870
1266	3343
768	11492
17375	424
1	30935
421	1154
575	18730
1815	835
56	28389
119	5618
509	9885
36	21520
2174	2103
253	17276
334	32561
80	18218
159	5833
339	20122
152	5966
846	15740
701	9058
213	34714
183	3858
239	27768
325	17624
362	20934
27	8460
1437	3442
657	8579
589	35559
261	416
1497	3830
111	27289
288	5506
129	17696
71	17085
631	11107
406	12434
229	4739
3638	319
307	1099
404	24936
210	12101
54	31775
197	13686
274	17959
96	20851
231	23911
27	7272
762	20089
108	43715
87	5032
69	39371
8	14248
308	8289
342	42384
0	16980
352	17544
367	17328
992	4844
544	36896
143	11037
2493	2409
601	32833
353	34375
2	11048
238	53657
836	1568
3498	101
959	1271
124	7703
80	7657
668	6098
240	26632
1699	6676
32	38892
237	24857
189	8659
114	6442
24	9704
289	60957
6363	3105
343	60499
70	21925
126	1706
165	14572
17	18597
284	53165
35	1799
621	11086
67	6118
657	2533
337	9316
53	45907
57	10853
57	7575
1467	4369
101	21012
278	40902
490	1214
727	1822
93	1168
18	8087
76	7434
115	20015
28	4567
44	1137
37	21156
4364	451
88	6413
328	19722
1740	405
320	17020
159	28309
160	14286
2147	2770
64	5677
1050	6375
330	40025
67	792
405	3790
303	2083
901	100
335	16192
119	8483
38	41229
349	13348
243	18831
172	4620
525	10469
683	6274
260	3354
218	8123
234	5030
1022	6506
346	32568
237	11732
81	8375
